,gid,osm_id,code,fclass,name,lon,lat
0,8249,358819011,2005,post_office,Soda Springs Post Office,-120.3839328,39.3241838
1,8225,358818911,2005,post_office,Cedar Ridge Post Office,-121.0221697,39.1990612
2,8233,358818945,2005,post_office,Grass Valley Post Office,-121.0618939,39.2182275
3,8240,358818974,2005,post_office,Nevada City Post Office,-121.0167961,39.2634317
4,15222,368167470,2009,courthouse,Nevada County Courthouse,-121.018004,39.2637827
5,15323,368167714,2002,fire_station,Firehouse Number 2,-121.0205041,39.2632271
6,15775,368169050,2007,library,Grass Valley Royce Branch Nevada County Library,-121.0633878,39.2169201
7,15776,368169051,2007,library,Nevada County Law Library,-121.0182818,39.2637827
8,15799,368169245,2007,library,Searls Historical Library,-121.0184591,39.26344
9,16642,368171445,2008,town_hall,Nevada City City Hall,-121.0196707,39.2623939
10,16666,368171491,2008,town_hall,Grass Valley City Hall,-121.0610606,39.2190608
11,8243,358818985,2005,post_office,North San Juan Post Office,-121.1024545,39.3701699
