geoid,countyfp,prcdisabled_final,unreliable_flag
6039000300,39,0.12950402713,0
6039000106,39,0.153930530165,0
6039000108,39,0.119696969697,0
6039000201,39,0.27990430622,0
6039000109,39,0.170710571924,0
6039000604,39,0.118513969911,0
6039000603,39,0.0955392809587,0
6039000800,39,0.109424233744,0
6039000900,39,0.11228136167,0
6039000506,39,0.114649681529,0
6039000508,39,0.170138017566,0
6039000102,39,0.119198827553,0
6039000502,39,0.107572310692,0
6039000103,39,0.0681818181818,0
6039001000,39,0.0895700636943,0
6039000503,39,0.122250340666,0
6039000602,39,0.120967741935,0
6039000104,39,0.0972301302183,1
6039000700,39,0.142477091339,0
6039000509,39,0.101472134595,0
6039000507,39,0.0886935060929,0
6039000400,39,0.0470139771283,0
6039000202,39,0.0997280145059,0
