geoid,countyfp,prc_latino,unreliable_flag
6055201601,55,0.392842942346,0
6055201602,55,0.18275862069,0
6055200302,55,0.419112383679,0
6055201003,55,0.220568070519,0
6055201007,55,0.296439101837,0
6055200707,55,0.24975577987599998,0
6055200505,55,0.49265197060800003,0
6055201004,55,0.26160728058000005,0
6055200301,55,0.543977055449,0
6055200804,55,0.7105263157889999,0
6055200705,55,0.40063424947099996,0
6055200704,55,0.472099712368,0
6055200803,55,0.246175908222,0
6055200602,55,0.284697508897,0
6055201006,55,0.325170489771,0
6055200601,55,0.390169556106,0
6055200706,55,0.26574685063000003,0
6055200504,55,0.44946102171499996,0
6055201102,55,0.08112493239589999,0
6055201300,55,0.11267134737500001,0
6055200900,55,0.142112125163,0
6055201800,55,0.20820939916700001,0
6055202000,55,0.488733194471,0
6055200201,55,0.432520808561,0
6055200203,55,0.398029134533,0
6055200202,55,0.42363396971699996,0
6055200501,55,0.54552323385,0
6055200503,55,0.47301218804399997,0
6055201900,55,0.23388429752099998,0
6055201500,55,0.34127740705399995,0
6055200703,55,0.0786393562546,1
6055200400,55,0.243101807802,0
6055201700,55,0.219017273185,0
6055200802,55,0.24644899465,0
6055201402,55,0.0891185017759,1
6055201403,55,0.18370607028799998,0
6055201101,55,0.116352201258,0
6055201005,55,0.234589800443,0
6055201401,55,0.050031466331,0
6055201200,55,0.330161357054,0
